frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1, 0, 0.000, 0.93, 1, 0.43, 0.44, 0.26, 0.35, -0.23, 1.07, 0.49, -0.38, 0.28, 0.77, 0.17, 0.47, 0.31, 0.54, 0.54, 0.51, 0.66, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2, 0, 0.040, 0.98, 1, 0.83, 0.68, 0.22, 0.05, -0.21, 1.14, 0.29, -0.15, 0.38, 0.89, 0.25, 0.49, 0.07, 0.11, 0.69, 0.86, 0.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
3, 0, 0.080, 0.98, 1, 0.57, 0.58, 0.86, -0.15, -0.36, 0.15, 0.55, -0.17, -0.03, 0.71, 0.43, 1.16, 0.18, 0.68, 1.33, 0.55, 1.08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
4, 0, 0.120, 0.98, 1, 0.11, 0.13, 0.88, -0.11, -0.26, 0.21, 0.33, -0.07, 0.01, 0.57, 0.37, 0.44, 0.22, 0.39, 1.61, 0.09, 1.51, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
5, 0, 0.160, 0.98, 1, 0.47, 0.10, 0.87, -0.10, -0.29, 1.44, 0.52, 0.05, -0.09, 0.72, 0.36, 0.38, 0.45, 0.16, 1.65, 0.43, 0.10, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
6, 0, 0.200, 0.98, 1, 0.57, 0.40, 0.81, 0.04, -0.44, 0.63, 0.65, 0.10, -0.11, 0.50, 0.50, 0.63, 0.56, 0.52, 1.51, 0.43, -0.09, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
7, 0, 0.240, 0.98, 1, -0.18, -0.71, 0.42, 0.62, -0.44, 0.29, 0.43, 0.03, -0.12, 0.14, 0.81, 0.82, 0.51, 1.12, 0.82, 0.14, -1.35, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
8, 0, 0.280, 0.98, 1, -0.17, -0.66, 0.60, 0.21, -0.43, 0.35, 0.41, -0.01, -0.01, 0.20, 0.76, 0.72, 0.41, 0.94, 0.84, -0.06, -1.30, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
9, 0, 0.320, 0.98, 1, 0.45, 0.13, 0.69, 0.04, -0.44, 0.32, 0.41, 0.31, -0.04, 0.40, 0.45, 0.64, 0.48, 0.50, 0.95, 0.49, -0.79, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10, 0, 0.360, 0.98, 1, 0.62, -0.15, 0.50, 0.15, -0.56, 0.33, 0.65, 0.13, 0.07, 0.14, 0.35, 0.43, 0.40, 0.99, 0.82, 0.50, -1.00, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
11, 0, 0.400, 0.98, 1, 0.28, -0.29, 0.37, 0.30, -0.42, 0.26, 0.69, 0.06, 0.13, 0.12, 0.34, 0.56, 0.54, 0.81, 0.59, 0.33, -0.51, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
12, 0, 0.440, 0.98, 1, 0.23, -0.32, 0.34, 0.12, -0.41, 0.39, 0.68, 0.08, 0.16, 0.16, 0.33, 0.54, 0.46, 0.64, 0.78, 0.42, -0.64, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
13, 0, 0.480, 0.98, 1, 0.53, 0.29, 0.40, 0.55, -0.52, 0.06, 0.48, 0.28, 0.24, 0.69, 0.20, 0.77, 0.28, 0.77, 0.92, 0.39, -0.19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
14, 0, 0.520, 0.98, 1, 0.24, -0.15, 0.30, 0.66, -0.42, 0.22, 0.80, 0.29, 0.20, 0.50, 0.18, 0.37, 0.38, 1.07, 1.13, 0.73, -0.17, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
15, 0, 0.560, 0.98, 1, 0.27, -0.40, 0.63, 0.90, -0.37, 0.28, 0.55, 0.12, 0.23, 0.41, -0.08, 0.48, 0.38, 0.78, 0.69, 0.25, -0.28, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
16, 0, 0.600, 0.98, 1, 0.45, 0.02, 0.47, 0.96, -0.50, 0.47, 0.68, 0.15, 0.26, 0.50, -0.22, 0.40, 0.34, 0.72, 0.89, 0.41, -0.16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
